County,Year,Cohort,N_recent_movers_weighted,Pct_born_in_Texas_overall,Pct_hispanic_among_movers,N_hispanic_movers_weighted,N_nonhispanic_movers_weighted,Pct_born_in_Texas_among_hispanic,Pct_born_in_Texas_among_nonhispanic
Tarrant (Fort Worth),2019,25-30 (Young Adults),48321,49.1,100.0,48321,0,49.1,
Tarrant (Fort Worth),2021,25-30 (Young Adults),44372,53.2,26.6,11817,32555,50.1,54.3
Tarrant (Fort Worth),2022,25-30 (Young Adults),49832,43.7,28.7,14296,35536,37.3,46.3
Tarrant (Fort Worth),2023,25-30 (Young Adults),49139,45.6,33.1,16276,32863,43.2,46.7
Tarrant (Fort Worth),2012,31-40 (Established Career),50221,39.9,100.0,50221,0,39.9,
Tarrant (Fort Worth),2013,31-40 (Established Career),56123,43.3,100.0,56123,0,43.3,
Tarrant (Fort Worth),2014,31-40 (Established Career),58124,40.5,100.0,58124,0,40.5,
Tarrant (Fort Worth),2015,31-40 (Established Career),55676,42.9,100.0,55676,0,42.9,
Tarrant (Fort Worth),2016,31-40 (Established Career),48372,43.0,100.0,48372,0,43.0,
Tarrant (Fort Worth),2017,31-40 (Established Career),60278,43.4,100.0,60278,0,43.4,
Tarrant (Fort Worth),2018,31-40 (Established Career),55427,40.1,100.0,55427,0,40.1,
Tarrant (Fort Worth),2019,31-40 (Established Career),53310,42.8,100.0,53310,0,42.8,
Tarrant (Fort Worth),2021,31-40 (Established Career),38155,46.3,23.8,9098,29057,38.1,48.8
Tarrant (Fort Worth),2022,31-40 (Established Career),45306,43.2,23.1,10447,34859,29.6,47.3
