County,Year,Cohort,N_recent_movers_weighted,Pct_born_in_Texas_overall,Pct_hispanic_among_movers,N_hispanic_movers_weighted,N_nonhispanic_movers_weighted,Pct_born_in_Texas_among_hispanic,Pct_born_in_Texas_among_nonhispanic
Dallas,2014,41-50 (Family / Peak Career),52414,33.3,100.0,52414,0,33.3,
Dallas,2015,41-50 (Family / Peak Career),42796,39.4,100.0,42796,0,39.4,
Dallas,2016,41-50 (Family / Peak Career),40490,34.4,100.0,40490,0,34.4,
Dallas,2017,41-50 (Family / Peak Career),42214,35.9,100.0,42214,0,35.9,
Dallas,2018,41-50 (Family / Peak Career),42512,33.4,100.0,42512,0,33.4,
Dallas,2019,41-50 (Family / Peak Career),42759,40.0,100.0,42759,0,40.0,
Dallas,2021,41-50 (Family / Peak Career),36732,41.1,31.0,11396,25336,29.4,46.3
Dallas,2022,41-50 (Family / Peak Career),35078,28.9,31.9,11204,23874,12.6,36.6
Dallas,2023,41-50 (Family / Peak Career),34214,24.9,40.1,13703,20511,15.0,31.5
Dallas,2012,51-64 (Pre-Retirement),36039,44.4,100.0,36039,0,44.4,
Dallas,2013,51-64 (Pre-Retirement),42659,42.0,100.0,42659,0,42.0,
Dallas,2014,51-64 (Pre-Retirement),40268,39.2,100.0,40268,0,39.2,
Dallas,2015,51-64 (Pre-Retirement),35271,38.3,100.0,35271,0,38.3,
Dallas,2016,51-64 (Pre-Retirement),38275,38.5,100.0,38275,0,38.5,
Dallas,2017,51-64 (Pre-Retirement),39980,39.0,100.0,39980,0,39.0,
Dallas,2018,51-64 (Pre-Retirement),36257,34.6,100.0,36257,0,34.6,
Dallas,2019,51-64 (Pre-Retirement),37977,47.4,100.0,37977,0,47.4,
Dallas,2021,51-64 (Pre-Retirement),31880,34.8,31.0,9879,22001,25.9,38.8
Dallas,2022,51-64 (Pre-Retirement),30106,39.1,31.3,9411,20695,10.7,52.1
Dallas,2023,51-64 (Pre-Retirement),31568,35.2,31.7,10006,21562,23.6,40.6
Dallas,2012,65+ (Retirement),17268,43.7,100.0,17268,0,43.7,
Dallas,2013,65+ (Retirement),15717,47.0,100.0,15717,0,47.0,
Dallas,2014,65+ (Retirement),16992,43.7,100.0,16992,0,43.7,
Dallas,2015,65+ (Retirement),15551,46.9,100.0,15551,0,46.9,
Dallas,2016,65+ (Retirement),17377,51.4,100.0,17377,0,51.4,
Dallas,2017,65+ (Retirement),20258,36.9,100.0,20258,0,36.9,
Dallas,2018,65+ (Retirement),23288,42.8,100.0,23288,0,42.8,
Dallas,2019,65+ (Retirement),16268,38.1,100.0,16268,0,38.1,
Dallas,2021,65+ (Retirement),14686,44.5,22.9,3361,11325,30.1,48.8
Dallas,2022,65+ (Retirement),19164,50.5,18.9,3629,15535,45.4,51.7
Dallas,2023,65+ (Retirement),18393,39.0,22.9,4204,14189,41.8,38.1
El Paso,2012,18-24 (College / Entry),24278,51.4,100.0,24278,0,51.4,
El Paso,2013,18-24 (College / Entry),21107,40.4,100.0,21107,0,40.4,
El Paso,2014,18-24 (College / Entry),21426,40.4,100.0,21426,0,40.4,
El Paso,2015,18-24 (College / Entry),25000,50.9,100.0,25000,0,50.9,
El Paso,2016,18-24 (College / Entry),16796,62.8,100.0,16796,0,62.8,
El Paso,2017,18-24 (College / Entry),20454,59.4,100.0,20454,0,59.4,
El Paso,2018,18-24 (College / Entry),18843,51.3,100.0,18843,0,51.3,
El Paso,2019,18-24 (College / Entry),21196,51.4,100.0,21196,0,51.4,
El Paso,2021,18-24 (College / Entry),19685,41.4,69.4,13666,6019,56.6,6.9
El Paso,2022,18-24 (College / Entry),16767,52.8,69.5,11657,5110,66.1,22.4
El Paso,2023,18-24 (College / Entry),20056,54.6,72.9,14618,5438,68.2,17.9
El Paso,2012,25-30 (Young Adults),18571,32.5,100.0,18571,0,32.5,
El Paso,2013,25-30 (Young Adults),18263,47.3,100.0,18263,0,47.3,
El Paso,2014,25-30 (Young Adults),17274,37.1,100.0,17274,0,37.1,
El Paso,2015,25-30 (Young Adults),19872,40.5,100.0,19872,0,40.5,
El Paso,2016,25-30 (Young Adults),25480,51.5,100.0,25480,0,51.5,
El Paso,2017,25-30 (Young Adults),20189,38.7,100.0,20189,0,38.7,
El Paso,2018,25-30 (Young Adults),20127,51.6,100.0,20127,0,51.6,
El Paso,2019,25-30 (Young Adults),18434,56.0,100.0,18434,0,56.0,
El Paso,2021,25-30 (Young Adults),13792,44.3,60.3,8317,5475,57.2,24.7
El Paso,2022,25-30 (Young Adults),17972,54.0,66.6,11966,6006,71.2,19.8
El Paso,2023,25-30 (Young Adults),16310,59.9,77.1,12574,3736,72.5,17.7
El Paso,2012,31-40 (Established Career),18310,30.6,100.0,18310,0,30.6,
El Paso,2013,31-40 (Established Career),16885,30.5,100.0,16885,0,30.5,
El Paso,2014,31-40 (Established Career),13945,39.5,100.0,13945,0,39.5,
El Paso,2015,31-40 (Established Career),18100,40.3,100.0,18100,0,40.3,
El Paso,2016,31-40 (Established Career),21682,44.4,100.0,21682,0,44.4,
El Paso,2017,31-40 (Established Career),20792,41.7,100.0,20792,0,41.7,
El Paso,2018,31-40 (Established Career),19051,45.3,100.0,19051,0,45.3,
El Paso,2019,31-40 (Established Career),19804,49.9,100.0,19804,0,49.9,
El Paso,2021,31-40 (Established Career),17952,40.1,65.8,11812,6140,50.7,19.6
